	x	MATLAB_y	Verilog_y	|MATLAB-x|	|Verilog-x|	|Verilog-MATLAB|
-0.0146484375	-0.0275438411	-0.3310546875	0.0128954036	0.3164062500	0.3035108464
0.0097656250	-0.0350585176	-0.3359375000	0.0448241426	0.3457031250	0.3008789824
-0.0742187500	-0.0415983739	-0.3408203125	0.0326203761	0.2666015625	0.2992219386
-0.0136718750	-0.0471072990	-0.3457031250	0.0334354240	0.3320312500	0.2985958260
-0.0615234375	-0.0515607642	-0.3505859375	0.0099626733	0.2890625000	0.2990251733
-0.0400390625	-0.0549672447	-0.3544921875	0.0149281822	0.3144531250	0.2995249428
-0.0419921875	-0.0573682475	-0.3593750000	0.0153760600	0.3173828125	0.3020067525
-0.0703125000	-0.0588367820	-0.3632812500	0.0114757180	0.2929687500	0.3044444680
-0.1015625000	-0.0594742590	-0.3662109375	0.0420882410	0.2646484375	0.3067366785
-0.0224609375	-0.0594059544	-0.3701171875	0.0369450169	0.3476562500	0.3107112331
-0.0947265625	-0.0587752932	-0.3720703125	0.0359512693	0.2773437500	0.3132950193
-0.1015625000	-0.0577373045	-0.3750000000	0.0438251955	0.2734375000	0.3172626955
-0.1054687500	-0.0564516463	-0.3769531250	0.0490171037	0.2714843750	0.3205014787
-0.1044921875	-0.0550756117	-0.3789062500	0.0494165758	0.2744140625	0.3238306383
-0.1669921875	-0.0537575143	-0.3818359375	0.1132346732	0.2148437500	0.3280784232
-0.1484375000	-0.0526308086	-0.3867187500	0.0958066914	0.2382812500	0.3340879414
-0.1445312500	-0.0518092476	-0.3945312500	0.0927220024	0.2500000000	0.3427220024
-0.1748046875	-0.0513833045	-0.4033203125	0.1234213830	0.2285156250	0.3519370080
-0.2167968750	-0.0514180043	-0.4130859375	0.1653788707	0.1962890625	0.3616679332
-0.2041015625	-0.0519522172	-0.4238281250	0.1521493453	0.2197265625	0.3718759078
-0.2519531250	-0.0529993814	-0.4335937500	0.1989537436	0.1816406250	0.3805943686
-0.1992187500	-0.0545495411	-0.4423828125	0.1446692089	0.2431640625	0.3878332714
-0.2578125000	-0.0565725268	-0.4511718750	0.2012399732	0.1933593750	0.3945993482
-0.2460937500	-0.0590220517	-0.4599609375	0.1870716983	0.2138671875	0.4009388858
-0.2089843750	-0.0618404579	-0.4667968750	0.1471439171	0.2578125000	0.4049564171
-0.2480468750	-0.0649638137	-0.4736328125	0.1830830613	0.2255859375	0.4086689988
-0.2265625000	-0.0683270517	-0.4804687500	0.1582354483	0.2539062500	0.4121416983
-0.2675781250	-0.0718688387	-0.4853515625	0.1957092863	0.2177734375	0.4134827238
-0.3222656250	-0.0755358925	-0.4902343750	0.2467297325	0.1679687500	0.4146984825
-0.2558593750	-0.0792865046	-0.4951171875	0.1765728704	0.2392578125	0.4158306829
-0.2324218750	-0.0830930978	-0.4990234375	0.1493287772	0.2666015625	0.4159303397
-0.2314453125	-0.0869437286	-0.5019531250	0.1445015839	0.2705078125	0.4150093964
-0.2431640625	-0.0908425144	-0.5048828125	0.1523215481	0.2617187500	0.4140402981
-0.2285156250	-0.0948090138	-0.5068359375	0.1337066112	0.2783203125	0.4120269237
-0.2324218750	-0.0988766269	-0.5097656250	0.1335452481	0.2773437500	0.4108889981
-0.2773437500	-0.1030901072	-0.5117187500	0.1742536428	0.2343750000	0.4086286428
-0.3085937500	-0.1075023242	-0.5126953125	0.2010914258	0.2041015625	0.4051929883
-0.2011718750	-0.1121704555	-0.5146484375	0.0890014195	0.3134765625	0.4024779820
-0.2216796875	-0.1171518329	-0.5156250000	0.1045278546	0.2939453125	0.3984731671
-0.1796875000	-0.1224996961	-0.5166015625	0.0571878039	0.3369140625	0.3941018664
-0.2734375000	-0.1282591042	-0.5175781250	0.1451783958	0.2441406250	0.3893190208
-0.3154296875	-0.1344632208	-0.5175781250	0.1809664667	0.2021484375	0.3831149042
-0.3623046875	-0.1411301479	-0.5185546875	0.2211745396	0.1562500000	0.3774245396
-0.3183593750	-0.1482604547	-0.5195312500	0.1700989203	0.2011718750	0.3712707953
-0.2578125000	-0.1558355462	-0.5195312500	0.1019769538	0.2617187500	0.3636957038
-0.2890625000	-0.1638170088	-0.5195312500	0.1252454912	0.2304687500	0.3557142412
-0.3076171875	-0.1721470342	-0.5205078125	0.1354701533	0.2128906250	0.3483607783
-0.3095703125	-0.1807499419	-0.5205078125	0.1288203706	0.2109375000	0.3397578706
-0.2675781250	-0.1895347264	-0.5205078125	0.0780433986	0.2529296875	0.3309730861
-0.2500000000	-0.1983984667	-0.5214843750	0.0516015333	0.2714843750	0.3230859083
-0.3632812500	-0.2072303814	-0.5253906250	0.1560508686	0.1621093750	0.3181602436
-0.3388671875	-0.2159162738	-0.5322265625	0.1229509137	0.1933593750	0.3163102887
-0.3476562500	-0.2243431039	-0.5400390625	0.1233131461	0.1923828125	0.3156959586
-0.3613281250	-0.2324034432	-0.5488281250	0.1289246818	0.1875000000	0.3164246818
-0.3632812500	-0.2399996105	-0.5576171875	0.1232816395	0.1943359375	0.3176175770
-0.3593750000	-0.2470473431	-0.5673828125	0.1123276569	0.2080078125	0.3203354694
-0.3144531250	-0.2534788950	-0.5761718750	0.0609742300	0.2617187500	0.3226929800
-0.2890625000	-0.2592454844	-0.5849609375	0.0298170156	0.2958984375	0.3257154531
-0.3544921875	-0.2643190250	-0.5927734375	0.0901731625	0.2382812500	0.3284544125
-0.3994140625	-0.2686930791	-0.5996093750	0.1307209834	0.2001953125	0.3309162959
-0.3447265625	-0.2723829786	-0.6064453125	0.0723435839	0.2617187500	0.3340623339
-0.3408203125	-0.2754250912	-0.6123046875	0.0653952213	0.2714843750	0.3368795963
-0.4033203125	-0.2778752556	-0.6171875000	0.1254450569	0.2138671875	0.3393122444
-0.3925781250	-0.2798064666	-0.6220703125	0.1127716584	0.2294921875	0.3422638459
-0.4238281250	-0.2813059359	-0.6259765625	0.1425221891	0.2021484375	0.3446706266
-0.3691406250	-0.2824716829	-0.6298828125	0.0866689421	0.2607421875	0.3474111296
-0.2998046875	-0.2834088318	-0.6328125000	0.0163958557	0.3330078125	0.3494036682
-0.3945312500	-0.2842257996	-0.6357421875	0.1103054504	0.2412109375	0.3515163879
-0.3945312500	-0.2850305367	-0.6376953125	0.1095007133	0.2431640625	0.3526647758
-0.3847656250	-0.2859269496	-0.6396484375	0.0988386754	0.2548828125	0.3537214879
-0.3789062500	-0.2870115973	-0.6416015625	0.0918946527	0.2626953125	0.3545899652
-0.3613281250	-0.2883707381	-0.6435546875	0.0729573869	0.2822265625	0.3551839494
-0.3496093750	-0.2900778016	-0.6445312500	0.0595315734	0.2949218750	0.3544534484
-0.3193359375	-0.2921913480	-0.6455078125	0.0271445895	0.3261718750	0.3533164645
-0.3789062500	-0.2947535602	-0.6464843750	0.0841526898	0.2675781250	0.3517308148
-0.4541015625	-0.2977892808	-0.6474609375	0.1563122817	0.1933593750	0.3496716567
-0.4902343750	-0.3013055870	-0.6484375000	0.1889287880	0.1582031250	0.3471319130
-0.4082031250	-0.3052918935	-0.6494140625	0.1029112315	0.2412109375	0.3441221690
