Time: 1205000 | Din(Binary): 0000011001110100 | Average(Binary): 0000011001101111 | Din(Decimal): 1652 | Average(Decimal): 1647
Time: 1215000 | Din(Binary): 0000011001111010 | Average(Binary): 0000011001101111 | Din(Decimal): 1658 | Average(Decimal): 1647
Time: 1225000 | Din(Binary): 0000011001111010 | Average(Binary): 0000011001101110 | Din(Decimal): 1658 | Average(Decimal): 1646
Time: 1235000 | Din(Binary): 0000011001111010 | Average(Binary): 0000011001101110 | Din(Decimal): 1658 | Average(Decimal): 1646
Time: 1245000 | Din(Binary): 0000011001111011 | Average(Binary): 0000011001101110 | Din(Decimal): 1659 | Average(Decimal): 1646
Time: 1255000 | Din(Binary): 0000011001111011 | Average(Binary): 0000011001101110 | Din(Decimal): 1659 | Average(Decimal): 1646
Time: 1265000 | Din(Binary): 0000011001111011 | Average(Binary): 0000011001101110 | Din(Decimal): 1659 | Average(Decimal): 1646
Time: 1275000 | Din(Binary): 0000011001111101 | Average(Binary): 0000011001101110 | Din(Decimal): 1661 | Average(Decimal): 1646
Time: 1285000 | Din(Binary): 0000011001111101 | Average(Binary): 0000011001101110 | Din(Decimal): 1661 | Average(Decimal): 1646
Time: 1295000 | Din(Binary): 0000011001111101 | Average(Binary): 0000011001101110 | Din(Decimal): 1661 | Average(Decimal): 1646
Time: 1305000 | Din(Binary): 0000011001110100 | Average(Binary): 0000011001101110 | Din(Decimal): 1652 | Average(Decimal): 1646
Time: 1315000 | Din(Binary): 0000011001110100 | Average(Binary): 0000011001101111 | Din(Decimal): 1652 | Average(Decimal): 1647
Time: 1325000 | Din(Binary): 0000011001110100 | Average(Binary): 0000011001101111 | Din(Decimal): 1652 | Average(Decimal): 1647
Time: 1335000 | Din(Binary): 0000011001110011 | Average(Binary): 0000011001101111 | Din(Decimal): 1651 | Average(Decimal): 1647
Time: 1345000 | Din(Binary): 0000011001110011 | Average(Binary): 0000011001110010 | Din(Decimal): 1651 | Average(Decimal): 1650
Time: 1355000 | Din(Binary): 0000011001110011 | Average(Binary): 0000011001110010 | Din(Decimal): 1651 | Average(Decimal): 1650
Time: 1365000 | Din(Binary): 0000011001101000 | Average(Binary): 0000011001110010 | Din(Decimal): 1640 | Average(Decimal): 1650
Time: 1375000 | Din(Binary): 0000011001101000 | Average(Binary): 0000011001110011 | Din(Decimal): 1640 | Average(Decimal): 1651
Time: 1385000 | Din(Binary): 0000011001101000 | Average(Binary): 0000011001110011 | Din(Decimal): 1640 | Average(Decimal): 1651
Time: 1395000 | Din(Binary): 0000011001100111 | Average(Binary): 0000011001110011 | Din(Decimal): 1639 | Average(Decimal): 1651
Time: 1405000 | Din(Binary): 0000011001100111 | Average(Binary): 0000011001110101 | Din(Decimal): 1639 | Average(Decimal): 1653
Time: 1415000 | Din(Binary): 0000011001100111 | Average(Binary): 0000011001110101 | Din(Decimal): 1639 | Average(Decimal): 1653
Time: 1425000 | Din(Binary): 0000011001101100 | Average(Binary): 0000011001110101 | Din(Decimal): 1644 | Average(Decimal): 1653
Time: 1435000 | Din(Binary): 0000011001101100 | Average(Binary): 0000011001110100 | Din(Decimal): 1644 | Average(Decimal): 1652
Time: 1445000 | Din(Binary): 0000011001101100 | Average(Binary): 0000011001110100 | Din(Decimal): 1644 | Average(Decimal): 1652
Time: 1455000 | Din(Binary): 0000011001101111 | Average(Binary): 0000011001110100 | Din(Decimal): 1647 | Average(Decimal): 1652
Time: 1465000 | Din(Binary): 0000011001101111 | Average(Binary): 0000011001110011 | Din(Decimal): 1647 | Average(Decimal): 1651
Time: 1475000 | Din(Binary): 0000011001101111 | Average(Binary): 0000011001110011 | Din(Decimal): 1647 | Average(Decimal): 1651
